Customer_ID,Gender,Age,Annual_Income (k$),Spending Score (1-100),Date
61,Male,70,46,56,02-07-2024
62,Male,19,46,55,03-07-2024
63,Female,67,47,52,04-07-2024
64,Female,54,47,59,05-07-2024
65,Male,63,48,51,06-07-2024
66,Male,18,48,59,07-07-2024
67,Female,43,48,50,08-07-2024
68,Female,68,48,48,09-07-2024
69,Male,19,48,59,10-07-2024
70,Female,32,48,47,11-07-2024
71,Male,70,49,55,12-07-2024
72,Female,47,49,42,13-07-2024
73,Female,60,50,49,14-07-2024
74,Female,60,50,56,15-07-2024
75,Male,59,54,47,16-07-2024
76,Male,26,54,54,17-07-2024
77,Female,45,54,53,18-07-2024
78,Male,40,54,48,19-07-2024
79,Female,23,54,52,20-07-2024
80,Female,49,54,42,21-07-2024
81,Male,57,54,51,22-07-2024
82,Male,38,54,55,23-07-2024
83,Male,67,54,41,24-07-2024
84,Female,46,54,44,25-07-2024
85,Female,21,54,57,26-07-2024
86,Male,48,54,46,27-07-2024
87,Female,55,57,58,28-07-2024
88,Female,22,57,55,29-07-2024
89,Female,34,58,60,30-07-2024
90,Female,50,58,46,31-07-2024
91,Female,68,59,55,01-08-2024
92,Male,18,59,41,02-08-2024
93,Male,48,60,49,03-08-2024
94,Female,40,60,40,04-08-2024
95,Female,32,60,42,05-08-2024
96,Male,24,60,52,06-08-2024
97,Female,47,60,47,07-08-2024
98,Female,27,60,50,08-08-2024
99,Male,48,61,42,09-08-2024
100,Male,20,61,49,10-08-2024
101,Female,23,62,41,11-08-2024
102,Female,49,62,48,12-08-2024
103,Male,67,62,59,13-08-2024
104,Male,26,62,55,14-08-2024
105,Male,49,62,56,15-08-2024
106,Female,21,62,42,16-08-2024
107,Female,66,63,50,17-08-2024
108,Male,54,63,46,18-08-2024
109,Male,68,63,43,19-08-2024
110,Male,66,63,48,20-08-2024
111,Male,65,63,52,21-08-2024
112,Female,19,63,54,22-08-2024
113,Female,38,64,42,23-08-2024
114,Male,19,64,46,24-08-2024
115,Female,18,65,48,25-08-2024
116,Female,19,65,50,26-08-2024
117,Female,63,65,43,27-08-2024
118,Female,49,65,59,28-08-2024
119,Female,51,67,43,29-08-2024
120,Female,50,67,57,30-08-2024
121,Male,27,67,56,31-08-2024
122,Female,38,67,40,01-09-2024
123,Female,40,69,58,02-09-2024
124,Male,39,69,91,03-09-2024
125,Female,23,70,29,04-09-2024
126,Female,31,70,77,05-09-2024
127,Male,43,71,35,06-09-2024
128,Male,40,71,95,07-09-2024
129,Male,59,71,11,08-09-2024
130,Male,38,71,75,09-09-2024
131,Male,47,71,9,10-09-2024
132,Male,39,71,75,11-09-2024
133,Female,25,72,34,12-09-2024
134,Female,31,72,71,13-09-2024
135,Male,20,73,5,14-09-2024
136,Female,29,73,88,15-09-2024
137,Female,44,73,7,16-09-2024
138,Male,32,73,73,17-09-2024
139,Male,19,74,10,18-09-2024
140,Female,35,74,72,19-09-2024
141,Female,57,75,5,20-09-2024
142,Male,32,75,93,21-09-2024
143,Female,28,76,40,22-09-2024
144,Female,32,76,87,23-09-2024
145,Male,25,77,12,24-09-2024
146,Male,28,77,97,25-09-2024
147,Male,48,77,36,26-09-2024
148,Female,32,77,74,27-09-2024
149,Female,34,78,22,28-09-2024
150,Male,34,78,90,29-09-2024
151,Male,43,78,17,30-09-2024
152,Male,39,78,88,01-10-2024
153,Female,44,78,20,02-10-2024
154,Female,38,78,76,03-10-2024
155,Female,47,78,16,04-10-2024
156,Female,27,78,89,05-10-2024
157,Male,37,78,1,06-10-2024
158,Female,30,78,78,07-10-2024
159,Male,34,78,1,08-10-2024
160,Female,30,78,73,09-10-2024
161,Female,56,79,35,10-10-2024
162,Female,29,79,83,11-10-2024
163,Male,19,81,5,12-10-2024
164,Female,31,81,93,13-10-2024
165,Male,50,85,26,14-10-2024
166,Female,36,85,75,15-10-2024
167,Male,42,86,20,16-10-2024
168,Female,33,86,95,17-10-2024
169,Female,36,87,27,18-10-2024
170,Male,32,87,63,19-10-2024
171,Male,40,87,13,20-10-2024
172,Male,28,87,75,21-10-2024
173,Male,36,87,10,22-10-2024
174,Male,36,87,92,23-10-2024
175,Female,52,88,13,24-10-2024
176,Female,30,88,86,25-10-2024
177,Male,58,88,15,26-10-2024
178,Male,27,88,69,27-10-2024
179,Male,59,93,14,28-10-2024
180,Male,35,93,90,29-10-2024
181,Female,37,97,32,30-10-2024
182,Female,32,97,86,31-10-2024
183,Male,46,98,15,01-11-2024
184,Female,29,98,88,02-11-2024
185,Female,41,99,39,03-11-2024
186,Male,30,99,97,04-11-2024
187,Female,54,101,24,05-11-2024
188,Male,28,101,68,06-11-2024
189,Female,41,103,17,07-11-2024
190,Female,36,103,85,08-11-2024
191,Female,34,103,23,09-11-2024
192,Female,32,103,69,10-11-2024
193,Male,33,113,8,11-11-2024
194,Female,38,113,91,12-11-2024
195,Female,47,120,16,13-11-2024
196,Female,35,120,79,14-11-2024
197,Female,45,126,28,15-11-2024
198,Male,32,126,74,16-11-2024
199,Male,32,137,18,17-11-2024
200,Male,30,137,83,18-11-2024
